                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     69,                 1.1968,                  1.316,                 1.3492,                0.68504,                0.54354,                0.61531,                0.41834,                 1.2273,                 1.2016,                 1.3437,               0.003268,               0.003268,               0.003268
                     70,                 1.2021,                 1.3136,                 1.3473,                 0.6836,                0.54454,                0.61622,                 0.4193,                 1.2265,                 1.2004,                 1.3427,               0.003169,               0.003169,               0.003169
                     71,                  1.203,                 1.3116,                 1.3519,                0.68308,                0.54603,                0.61638,                0.42002,                 1.2264,                 1.1991,                 1.3423,                0.00307,                0.00307,                0.00307
                     72,                 1.1838,                 1.2979,                 1.3376,                0.68276,                0.54648,                 0.6173,                0.42027,                 1.2258,                 1.1974,                 1.3413,               0.002971,               0.002971,               0.002971
                     73,                 1.1868,                 1.2941,                 1.3429,                0.68156,                0.54664,                0.61706,                0.42065,                 1.2256,                  1.196,                 1.3412,               0.002872,               0.002872,               0.002872
                     74,                 1.1865,                 1.2936,                 1.3406,                0.68294,                0.54727,                0.61727,                0.42097,                 1.2252,                 1.1948,                 1.3408,               0.002773,               0.002773,               0.002773
                     75,                 1.1868,                 1.2859,                 1.3364,                0.68639,                 0.5469,                0.61799,                0.42147,                 1.2245,                 1.1934,                 1.3398,               0.002674,               0.002674,               0.002674
                     76,                 1.1838,                 1.2826,                  1.339,                0.68812,                0.54638,                0.61813,                0.42179,                 1.2239,                 1.1923,                 1.3393,               0.002575,               0.002575,               0.002575
                     77,                 1.1839,                 1.2903,                 1.3386,                0.68937,                0.54526,                0.61869,                0.42191,                 1.2232,                 1.1912,                 1.3387,               0.002476,               0.002476,               0.002476
                     78,                 1.1758,                 1.2713,                 1.3291,                0.68745,                0.54775,                0.61912,                0.42258,                  1.223,                 1.1903,                 1.3382,               0.002377,               0.002377,               0.002377
                     79,                 1.1731,                 1.2698,                 1.3311,                0.68555,                0.54928,                0.61978,                0.42287,                 1.2225,                 1.1894,                 1.3377,               0.002278,               0.002278,               0.002278
                     80,                 1.1713,                 1.2617,                 1.3265,                0.68648,                0.54952,                0.61998,                 0.4234,                 1.2221,                 1.1886,                 1.3371,               0.002179,               0.002179,               0.002179
                     81,                  1.167,                 1.2633,                  1.324,                0.68592,                0.55029,                0.62041,                0.42357,                 1.2217,                 1.1876,                 1.3365,                0.00208,                0.00208,                0.00208
                     82,                 1.1611,                 1.2478,                 1.3142,                0.68244,                0.55151,                0.62064,                0.42384,                 1.2211,                 1.1868,                 1.3358,               0.001981,               0.001981,               0.001981
                     83,                 1.1662,                 1.2515,                 1.3197,                0.68441,                0.55062,                0.62084,                0.42398,                 1.2204,                 1.1863,                 1.3352,               0.001882,               0.001882,               0.001882
                     84,                 1.1643,                 1.2516,                 1.3228,                0.68486,                0.55138,                0.62116,                0.42422,                 1.2199,                 1.1854,                 1.3346,               0.001783,               0.001783,               0.001783
                     85,                 1.1605,                 1.2408,                 1.3182,                0.68363,                0.55279,                0.62169,                 0.4245,                 1.2195,                 1.1846,                 1.3341,               0.001684,               0.001684,               0.001684
                     86,                 1.1571,                 1.2309,                 1.3131,                0.68541,                0.55243,                0.62135,                0.42506,                  1.219,                 1.1836,                 1.3336,               0.001585,               0.001585,               0.001585
                     87,                 1.1497,                 1.2325,                 1.3094,                0.68643,                0.55285,                0.62158,                0.42511,                  1.219,                 1.1829,                 1.3334,               0.001486,               0.001486,               0.001486
                     88,                 1.1448,                 1.2148,                 1.3077,                0.68515,                0.55472,                0.62227,                0.42534,                 1.2186,                 1.1821,                 1.3329,               0.001387,               0.001387,               0.001387
                     89,                   1.14,                 1.2052,                 1.3095,                0.68795,                0.55345,                0.62286,                0.42571,                 1.2182,                 1.1815,                 1.3324,               0.001288,               0.001288,               0.001288
                     90,                 1.1407,                 1.2155,                 1.3016,                0.68823,                0.55354,                0.62284,                0.42569,                 1.2178,                 1.1807,                  1.332,               0.001189,               0.001189,               0.001189
                     91,                 1.1547,                 1.1314,                 1.3009,                0.69283,                0.55257,                0.62299,                0.42582,                 1.2177,                 1.1802,                 1.3316,                0.00109,                0.00109,                0.00109
                     92,                 1.1477,                 1.1176,                 1.2928,                0.69293,                0.55312,                 0.6234,                0.42609,                 1.2174,                 1.1797,                 1.3312,               0.000991,               0.000991,               0.000991
                     93,                  1.144,                 1.1035,                 1.2905,                0.69293,                0.55474,                0.62389,                0.42632,                 1.2167,                 1.1788,                 1.3306,               0.000892,               0.000892,               0.000892
                     94,                 1.1354,                 1.0968,                 1.2878,                0.69373,                0.55413,                0.62406,                0.42679,                 1.2163,                 1.1784,                 1.3302,               0.000793,               0.000793,               0.000793
                     95,                 1.1396,                  1.089,                 1.2887,                0.69597,                0.55349,                0.62436,                0.42712,                 1.2162,                 1.1778,                 1.3299,               0.000694,               0.000694,               0.000694
                     96,                 1.1311,                 1.0798,                  1.278,                 0.6955,                0.55356,                0.62482,                 0.4274,                 1.2158,                 1.1774,                 1.3296,               0.000595,               0.000595,               0.000595
                     97,                 1.1268,                 1.0775,                 1.2832,                0.69554,                0.55414,                 0.6251,                0.42753,                 1.2157,                  1.177,                 1.3293,               0.000496,               0.000496,               0.000496
                     98,                 1.1278,                 1.0716,                 1.2809,                0.69659,                0.55394,                0.62545,                0.42748,                 1.2152,                 1.1765,                 1.3288,               0.000397,               0.000397,               0.000397
                     99,                 1.1212,                 1.0679,                  1.273,                0.69264,                0.55574,                0.62555,                0.42775,                 1.2151,                  1.176,                 1.3287,               0.000298,               0.000298,               0.000298
                    100,                 1.1202,                 1.0576,                 1.2745,                0.69359,                0.55511,                0.62592,                0.42787,                 1.2149,                 1.1752,                 1.3282,               0.000199,               0.000199,               0.000199
